DPDP Data Inventory — AI SaaS,,,,,,,,,,,,,,,,
By Specus Labs | CC BY 4.0 | This is not legal advice.,,,,,,,,,,,,,,,,
Organisation,,[ORG NAME],Last Updated,,[DATE],Reviewed By,,[NAME],,,,,,,,
,,,,,,,,,,,,,,,,
System Name,System Type,Data Categories Held,Data Subjects,Purpose of Processing,Legal Basis (DPDP Act),Source of Data,Internal Access (Teams / Roles),Vendor / Data Processor Name,Vendor Country,Cross-Border Transfer (Y/N),Security Measures in Place,Retention Period,Deletion Mechanism,Risk Level (Low / Med / High),Children's Data (Y/N),Notes / Action Required
,,,,,,,,,,,,,,,,
User Authentication System (Auth0 / Supabase Auth / custom),Authentication platform,"User name, email, hashed password, login timestamps, last active, OAuth tokens (if SSO), plan tier","Registered users","User identity verification, session management, access control",Consent (Section 6),"Collected directly at registration or via OAuth (Google / GitHub sign-in)","Engineering team, Founder","Auth0 Inc. / Supabase Inc. / custom (no third party)",USA / USA / N/A,Y / Y / Depends,"Auth platform SOC 2, TLS in transit, 2FA available for admin","Account lifetime + 30 days post-deletion","Automated deletion via account delete flow. Confirm auth platform deletes on account closure.","Medium",N,"Confirm your auth provider has a DPA and that account deletion cascades correctly. If using OAuth, confirm what data is stored from OAuth tokens."
Product Database (PostgreSQL / MySQL / MongoDB),Product database,"User ID, email, organisation name, subscription plan, feature usage metadata, prompt counts, API key hashes, billing tier, account creation date","Registered users","Product functionality, account management, subscription state, billing integration",Consent (Section 6),"Collected at registration and updated through product usage","Engineering team, Founder","AWS RDS / GCP Cloud SQL / MongoDB Atlas (infrastructure processor)",USA or India region,Depends on region,"AES-256 encryption at rest, TLS in transit, RBAC, IAM access controls, VPC isolation","Account lifetime + 90 days post-deletion","Automated deletion via account deletion API. Verify cascade to all related tables.","High",N,"Confirm database region. Use Mumbai (AWS ap-south-1) or equivalent to avoid cross-border transfer. Restrict database access to 2–3 engineers maximum. Review access logs monthly."
Third-Party AI API — Prompt Inputs (OpenAI / Anthropic / Google / AWS Bedrock),AI model API,"User prompt text (may contain personal data entered by user or about third parties), conversation context, system prompts, model parameters","Registered users (and potentially their customers)","AI model inference — generating product outputs from user inputs",Consent (Section 6),"Generated by users during product use — sent to AI API in real time","Engineering team (API configuration only — not stored by default)","OpenAI LLC / Anthropic PBC / Google LLC / Amazon Web Services",USA,Y,"TLS in transit, API key authentication, prompt data not used for training (verify and opt out if needed)","Not stored by API provider beyond inference (verify per provider). Inference logs stored separately — see next row.","Prompts not retained by API after inference (verify). Request deletion from provider if in doubt.","High",N,"CRITICAL: Download and sign DPA from every AI API provider you use. Verify that API inputs are not used for model training (opt out if default is opt-in). Disclose provider name and data destination in your privacy policy. Update if you switch providers."
Inference Logs (internal log store — CloudWatch / Datadog / custom),Log management,"User ID, session ID, timestamp, prompt text (may contain personal data), model response text, latency metrics, error codes, token counts","Registered users","Debugging, product monitoring, abuse detection, quality review",Legitimate use — internal operations,"Generated automatically by application during model inference","Engineering team, Founder","AWS CloudWatch / Datadog Inc. / custom logging infrastructure",USA or India region,Depends on provider,"IAM access controls, log encryption at rest, limited retention policy","30–90 days maximum recommended. Delete automatically on expiry.","Automated log expiry policy. Manual deletion pipeline on user account deletion or erasure request.","High",N,"HIGHEST RISK ROW. Inference logs often contain user personal data in plain text. Set mandatory retention limits. Implement log redaction for obvious PII (email addresses, phone numbers) before storage. Ensure logs are deleted when user account is deleted. Restrict access to engineering lead only."
Embedding Vector Store (Pinecone / Weaviate / pgvector),Vector database,"Embedding vectors generated from user documents or prompts, associated metadata (user ID, document ID, chunk ID, source filename)","Registered users (and their document subjects)","Semantic search, Retrieval-Augmented Generation (RAG), context retrieval",Consent (Section 6),"Generated from user-uploaded documents or conversation history","Engineering team","Pinecone Inc. / Weaviate B.V. / same DB as product (pgvector)",USA / Netherlands / Same region,Y (Pinecone/Weaviate) / Depends (pgvector),"TLS in transit, API key access, namespace isolation per user","Account lifetime. Delete on account deletion or erasure request.","Delete by user namespace or user ID filter. Must be included in account deletion pipeline.","High",N,"Embedding vectors derived from personal data may themselves be personal data under a cautious interpretation. Treat as personal data. Ensure deletion pipeline covers vector store. Disclose vector storage in privacy policy."
Training Data Store (if fine-tuned model used),Internal storage or cloud bucket,"Text samples used to fine-tune model — may contain user-generated content, third-party datasets, or proprietary data. May contain personal data if sourced from user inputs.","Users who generated the training data (if applicable)","Model fine-tuning, capability improvement",Consent (Section 6) — only if user inputs used without separate consent,"Assembled by engineering team from product usage data, public datasets, or licensed sources","Engineering team, ML team, Founder","AWS S3 / GCP Storage / Azure Blob (infrastructure)",India or USA region,Depends on region,"Bucket encryption, IAM access controls, no public access","Duration of model usage. Review when model is deprecated.","Delete from storage bucket. If model weights encode personal data, this is a separate complex question — consult legal counsel.","High",N,"IMPORTANT: If your training data includes user inputs, users must have consented to this use. If they did not, audit your training dataset and rebuild without personal data or obtain retroactive consent where possible. Disclose fine-tuning in your privacy policy."
