DPDP Data Inventory — Labour Supply and Staffing,,,,,,,,,,,,,,,,
By Specus Labs | CC BY 4.0 | This is not legal advice.,,,,,,,,,,,,,,,,
Organisation,,[ORG NAME],Last Updated,,[DATE],Reviewed By,,[NAME],,,,,,,,
,,,,,,,,,,,,,,,,
System Name,System Type,Data Categories Held,Data Subjects,Purpose of Processing,Legal Basis (DPDP Act),Source of Data,Internal Access (Teams / Roles),Vendor / Data Processor Name,Vendor Country,Cross-Border Transfer (Y/N),Security Measures in Place,Retention Period,Deletion Mechanism,Risk Level (Low / Med / High),Children's Data (Y/N),Notes / Action Required
,,,,,,,,,,,,,,,,
Candidate Intake Form (Google Form / Typeform / Internal),Digital intake form,"Candidate name, phone, email, current city, desired role, current salary, work experience summary, consent record and timestamp","Job applicants (candidates)","Candidate intake, initial screening, consent capture",Consent (Section 6),"Submitted directly by candidate via intake form","Recruitment team, Founder","Google LLC (if using Google Forms); Typeform Inc. (if using Typeform)",USA,Y,"Google Workspace 2FA, form access restricted to owner","12 months from last contact if not placed; 3 years from placement end if placed","Delete form responses from Google Forms or equivalent. Delete corresponding rows from candidate tracker.","Medium",N,"CRITICAL: This replaces WhatsApp-only intake. Must include a consent checkbox clearly stating purpose and who data will be shared with. If not yet implemented — implement immediately."
Candidate Database / Tracker (Google Sheets),Spreadsheet,"Candidate name, phone, email, current city, skills, experience level, placement status, client assigned, salary offered, date of joining, current stage in pipeline","Job applicants and placed candidates","Candidate tracking, recruitment pipeline management, placement reporting",Consent (Section 6),"Entered by recruitment team from intake form responses and interviews","Recruitment team, Founder only (restrict to named individuals)","Google LLC (Google Workspace)",USA,Y,"Google Workspace 2FA, sharing restricted to named individuals only — review quarterly","12 months from last contact (not placed) / 3 years from placement end (placed)","Manual deletion of rows. Remove ex-staff access immediately on offboarding. Audit shared access quarterly.","High",N,"HIGH RISK. This sheet typically has too many people with access. Check sharing settings today. Remove access for anyone not actively using it."
Google Drive — Candidate Documents,Cloud file storage,"Scanned Aadhaar, PAN card, passport photo, address proof (utility bill / rental agreement), educational certificates, employment certificates, bank account details","Job applicants and placed candidates","Statutory compliance (PF/ESI registration), client pre-employment checks, KYC",Consent (Section 6),"Uploaded by recruitment team after receiving documents from candidates","Recruitment team lead, Founder only","Google LLC (Google Drive)",USA,Y,"Google Workspace 2FA, folder-level access restrictions, link sharing DISABLED","During engagement. Delete Aadhaar and PAN scans after completing statutory registration (typically 30–60 days).","Manual deletion folder by folder. Audit Drive for documents older than retention period.","High",N,"HIGHEST RISK ROW. Government ID scans in cloud storage must have strict access controls. Disable public link sharing. Delete IDs promptly after use. Consider encrypted local storage for most sensitive documents."
WhatsApp Business (Communication),Messaging platform,"Candidate name, phone, job opportunity messages, delivery/location sharing, informal document images sent by candidates (if not controlled)","Candidates, clients","Communication, job opportunity sharing, status updates",Consent (Section 6) — implied by candidate messaging first,"Candidates and clients initiate or respond","Recruitment team","Meta Platforms Inc. (WhatsApp)",USA,Y,"WhatsApp end-to-end encryption in transit","1 year from last message","Manual deletion of chats. No bulk deletion available.","High",N,"CRITICAL: Do not accept Aadhaar, PAN, or bank documents via WhatsApp. Direct candidates to intake form for documents. WhatsApp acceptable for communication only. If document images have already been received — delete them from WhatsApp and request re-submission via secure channel."
Recruiter Personal Email,Personal email (informal),"Resumes received, documents forwarded, candidate communications on personal email address","Candidates","Informal communication — SHOULD NOT BE PRIMARY CHANNEL",N/A — personal account,"Candidates forwarding documents or applying informally","Individual recruiter (personal account)","Google / Microsoft / other",USA,Y,"Personal account security — NOT controlled by organisation","Unknown — no retention policy possible","Cannot be controlled by organisation","High",N,"CRITICAL RISK: Organisation has no control over personal email accounts. Data held here is not auditable, not deletable on request, and not secured. Stop this practice immediately. All candidate communication must use company email accounts. Ask recruiters to forward any candidate data to company accounts and delete from personal."
Background Verification (BGV) Agency,Third-party service,"Candidate name, Aadhaar number, PAN number, employment history dates, educational institution names, address for verification","Job applicants (candidates being verified)","Pre-employment background verification for client placement",Consent (Section 6) — specific BGV consent required,"Shared by organisation with BGV agency after candidate consent","Recruitment team, Founder","AuthBridge / IDfy / SpringVerify / HireRight or equivalent",India,N,"BGV agency platform security — confirm with agency","Duration of engagement. Request deletion from BGV agency after verification is complete and report delivered.","Request deletion from BGV agency portal. Confirm in writing.","High",N,"DPA REQUIRED with BGV agency. Candidate must specifically consent to BGV and be told which agency is used. Do not proceed with BGV without written candidate consent. Issue DPA now if not in place."
